# Accelerometer Data File
# Started @Mon Jul 18 22:10:38 CEST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: 3-axis Accelerometer sensor
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2266; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
0.431 -1.345 0.886 10
-1.456 -1.081 -2.787 10
-2.508 -1.844 -3.12 10
-2.568 -1.582 -0.826 10
-2.432 -1.105 0.221 10
-1.904 -0.951 0.604 10
-1.515 -1.33 0.914 10
-0.95 -1.542 1.012 10
-0.631 -1.482 0.67 10
-0.378 -1.627 0.18 10
-0.513 -1.8 -0.25 10
-0.884 -2.508 -0.923 10
-1.459 -3.093 -1.521 10
-2.046 -3.198 -1.291 10
-1.66 -4.007 -0.964 10
-1.235 -4.097 0.209 10
-0.732 -2.507 6.411 10
-0.651 -0.524 7.563 10
-1.758 1.071 4.109 10
-2.763 3.067 -1.981 10
-2.374 3.992 -6.575 10
-0.784 4.515 -8.84 10
0.207 4.486 -6.473 10
0.299 4.503 -2.24 10
0.2 4.613 0.06 10
0.0 4.634 1.045 10
-0.181 4.688 1.518 10
-0.318 4.684 1.409 10
-0.191 4.328 2.036 10
-0.19 3.955 2.366 9
-0.352 3.663 1.983 10
-0.627 3.538 1.199 10
-0.779 3.615 0.139 10
-0.831 3.521 -0.581 11
-0.998 3.221 -1.117 10
-1.26 2.795 -1.548 10
-1.556 2.265 -1.833 10
-1.874 1.815 -1.943 10
-2.118 1.538 -2.007 10
-2.165 1.428 -1.884 10
-2.077 1.405 -1.825 10
-1.895 1.437 -2.099 10
-1.585 1.328 -2.596 10
-1.211 0.678 -2.793 10
-0.564 -0.475 -2.488 10
0.327 -2.237 -2.325 10
1.691 -5.099 -2.343 10
3.297 -8.692 -2.487 10
4.915 -11.572 -2.859 10
6.475 -10.889 -3.366 10
6.457 -9.8 -8.201 10
4.604 -7.768 -12.871 10
1.558 -1.518 -10.903 10
-0.277 2.77 -6.089 10
-0.939 4.38 -1.291 10
-0.552 4.537 2.353 10
0.243 3.687 3.764 10
-0.254 2.542 3.689 10
-1.392 2.15 3.579 10
-1.598 2.038 5.591 10
-1.49 0.981 8.032 10
-1.642 -1.288 8.719 10
-1.823 -2.831 8.02 9
-1.339 -4.892 5.649 11
-0.3 -6.342 3.809 10
-0.727 -3.7 3.635 10
-0.568 0.074 2.547 10
-0.132 3.454 2.016 10
-0.343 5.53 2.418 10
-0.808 6.037 2.728 10
-1.408 5.071 1.421 10
-1.69 2.78 0.193 9
-1.969 0.606 -0.36 11
-2.237 -1.143 -0.264 10
-2.462 -2.244 -0.056 10
-2.448 -2.916 0.586 10
-2.091 -3.71 1.596 10
-1.253 -3.667 3.298 10
-0.136 -2.576 6.106 10
0.73 -0.896 7.253 10
1.294 0.942 7.123 10
1.346 2.46 5.161 10
1.487 3.17 3.214 10
1.683 3.37 1.375 10
1.61 2.723 -0.675 10
1.474 1.951 -2.15 10
1.223 0.756 -2.814 10
1.006 -0.491 -2.791 10
0.862 -1.407 -2.426 10
0.828 -1.74 -2.183 10
0.711 -1.497 -2.301 10
0.588 -0.977 -3.088 10
0.262 -0.155 -6.58 10
0.468 0.376 -5.594 10
0.783 0.304 -1.475 10
1.162 0.127 1.817 10
1.528 -0.16 2.928 10
1.427 -0.067 -0.665 10
1.483 -0.319 -1.012 10
1.886 -0.855 -0.1 10
2.421 -1.511 0.9 10
2.102 -1.076 1.361 10
1.253 -0.287 0.458 10
0.327 -0.043 -1.293 10
0.32 -0.435 -1.957 10
1.365 -0.71 -0.684 10
2.116 -0.924 1.263 10
2.249 -1.021 2.3 10
2.136 -0.419 2.087 10
2.009 0.519 0.922 10
1.799 1.363 -0.574 10
1.594 1.718 -1.138 10
1.382 0.943 -0.3 10
1.003 -0.754 0.936 10
0.385 -1.557 1.359 10
-0.385 -1.195 0.646 10
-1.95 -0.868 -2.753 10
-2.918 -2.204 -2.935 10
-2.549 -2.113 -0.762 10
-1.63 -1.22 0.477 11
-0.976 -1.202 0.541 9
-0.818 -1.349 0.245 10
-0.814 -1.274 0.635 10
-0.956 -0.957 0.838 10
-0.869 -1.439 0.375 10
-0.73 -2.398 -0.092 10
-0.795 -3.408 -0.747 10
-1.31 -4.429 -1.646 10
-2.403 -4.934 -2.197 10
-3.301 -5.932 -1.581 10
-3.488 -5.58 1.076 10
-3.484 -3.341 4.838 10
-3.385 -1.361 7.647 10
-3.581 1.033 5.598 10
-3.783 2.981 -0.167 10
-2.181 5.061 -7.545 10
0.579 4.9 -12.143 10
1.823 3.884 -9.826 10
2.045 3.539 -4.835 10
1.806 3.926 -0.464 10
1.634 4.257 2.158 10
1.35 4.607 3.192 10
0.853 4.845 3.295 10
0.371 4.791 2.992 10
0.291 4.752 2.692 10
0.503 4.768 2.776 10
0.582 4.963 2.93 10
0.377 5.148 2.076 10
-0.039 4.995 0.886 10
-0.38 4.685 -0.287 10
-0.678 4.225 -0.948 10
-1.032 3.621 -1.405 10
-1.463 3.087 -1.911 10
-1.826 2.64 -2.401 10
-2.082 2.256 -2.617 10
-2.141 1.875 -2.537 10
-2.169 1.627 -2.8 10
-1.96 1.266 -3.115 10
-1.428 0.329 -3.406 10
-0.346 -1.056 -3.376 10
0.955 -2.898 -3.34 10
2.437 -6.297 -3.23 10
4.331 -11.046 -3.028 10
6.061 -12.122 -3.94 10
7.187 -10.91 -5.296 10
6.348 -9.801 -10.282 10
2.765 -4.503 -12.047 10
-0.294 1.428 -9.161 10
-1.911 4.655 -4.996 10
-2.806 5.491 -1.531 9
-2.715 4.546 1.396 10
-2.607 1.996 4.317 11
-3.148 0.228 4.747 10
-3.747 -0.07 4.634 10
-3.277 0.298 6.42 10
-1.95 0.389 8.088 10
-1.306 -0.338 8.434 10
