# Accelerometer Data File
# Started @Wed Jul 20 22:08:40 CEST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: 3-axis Accelerometer sensor
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2266; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
-0.261 0.986 -0.335 9
-0.459 1.379 -0.207 10
-0.37 1.853 0.184 10
0.166 1.917 1.467 10
0.727 1.967 2.053 10
1.12 1.986 1.839 10
1.137 1.994 1.862 11
0.868 2.148 1.434 9
0.454 2.269 0.61 10
0.115 2.223 -0.036 10
-0.206 2.113 -0.705 10
-0.332 1.867 -1.358 10
-0.29 1.577 -1.791 11
-0.114 1.367 -2.035 9
0.181 1.093 -1.452 10
0.499 0.871 -0.712 10
0.647 0.689 -0.356 10
0.625 0.353 0.144 10
0.416 0.137 0.612 10
0.125 0.201 0.741 10
-0.206 0.275 0.873 10
-0.435 0.213 0.838 10
-0.538 0.106 0.556 10
-0.614 -0.05 0.397 10
-0.612 -0.183 0.159 10
-0.551 -0.286 -0.029 10
-0.393 -0.447 0.068 10
0.059 -0.669 0.346 10
0.441 -0.809 0.001 10
0.552 -0.987 -0.429 10
0.54 -1.215 -0.886 10
0.365 -1.421 -1.125 10
0.234 -1.469 -1.478 10
-0.056 -1.486 -1.735 10
-0.36 -1.371 -1.803 10
-0.385 -1.131 -1.588 10
-0.122 -1.207 -1.197 10
0.044 -1.345 -0.861 10
0.204 -1.254 -0.413 10
0.149 -1.059 0.213 10
-0.038 -0.815 0.744 10
-0.327 -0.527 1.1 10
-0.682 -0.285 1.257 10
-1.053 0.122 1.097 10
-1.301 0.584 0.832 10
-1.438 1.017 0.688 10
-1.639 1.51 0.62 10
-1.544 1.755 0.859 10
-1.079 1.58 1.127 10
-0.428 1.094 1.721 10
-0.032 0.916 1.928 10
0.28 0.91 1.838 10
0.39 0.638 1.577 11
0.394 0.299 1.135 9
0.32 0.2 0.806 10
0.168 0.274 0.742 10
0.03 0.402 0.573 10
0.027 0.241 0.447 10
0.05 -0.084 0.29 10
0.011 -0.23 0.02 11
0.061 -0.242 -0.042 9
0.107 -0.312 -0.124 10
0.044 -0.367 -0.318 10
0.014 -0.624 -0.157 10
-0.297 -0.751 -0.262 10
-0.603 -0.676 -0.632 10
-0.87 -0.53 -0.664 10
-0.93 -0.374 -0.692 10
-0.682 -0.302 -0.873 10
-0.294 -0.306 -1.122 10
0.018 -0.379 -1.251 10
0.18 -0.462 -1.307 10
0.214 -0.528 -1.374 10
0.192 -0.587 -1.202 10
0.087 -0.683 -1.409 10
0.027 -0.701 -1.432 10
0.093 -0.553 -1.117 10
0.092 -0.463 -0.686 10
0.083 -0.581 -0.54 10
0.031 -0.747 -0.52 11
0.071 -0.879 -0.261 10
0.15 -1.05 0.066 9
0.368 -1.307 0.292 10
0.641 -1.409 0.133 10
0.827 -1.345 0.206 10
0.831 -1.176 0.453 10
0.713 -0.912 0.442 10
0.487 -0.39 0.441 10
0.24 0.415 0.388 10
0.207 1.098 0.539 10
0.367 1.695 0.752 10
0.46 2.154 0.935 10
0.612 2.292 1.686 10
0.714 2.468 1.94 10
0.272 2.825 1.66 10
-0.443 3.016 1.304 10
-0.951 2.887 0.794 10
-1.054 2.417 0.293 10
-0.862 2.124 -0.167 10
-0.44 2.084 -0.081 10
0.051 2.065 0.478 10
0.641 1.893 1.43 10
1.206 1.686 2.226 10
1.723 1.104 2.659 10
1.904 0.399 2.35 10
1.645 -0.019 1.218 10
0.98 -0.112 -0.135 10
0.365 -0.17 -1.285 10
-0.153 -0.265 -2.07 10
-0.431 -0.316 -2.372 10
-0.482 -0.483 -2.203 10
-0.262 -0.753 -1.38 10
0.056 -0.971 -0.638 10
0.309 -1.106 -0.049 10
0.494 -1.125 0.326 10
0.781 -1.099 0.31 10
0.866 -1.221 -0.004 10
0.745 -1.306 -0.46 10
0.369 -1.193 -1.052 10
0.047 -1.099 -1.412 10
-0.198 -1.136 -1.512 10
-0.436 -1.039 -1.396 10
-0.513 -0.832 -1.118 10
-0.393 -0.619 -0.73 10
-0.242 -0.557 -0.545 10
-0.054 -0.579 -0.706 10
0.158 -0.642 -1.032 10
0.245 -0.543 -1.541 10
0.264 -0.351 -2.05 10
0.177 -0.195 -2.371 10
0.013 0.039 -2.806 10
-0.1 -0.619 -2.793 10
-0.659 -1.066 -2.531 10
-1.049 -0.813 -2.062 10
-1.453 -0.197 -1.476 10
-1.575 0.305 -0.717 10
-1.486 0.395 0.052 10
-1.226 0.295 0.866 10
-0.818 0.317 1.279 10
-0.478 0.44 1.444 10
-0.232 0.457 1.506 10
-0.235 0.342 1.226 10
-0.539 0.394 1.0 10
-0.795 0.846 1.228 10
-0.81 1.39 1.312 10
-0.6 1.605 1.827 10
-0.143 1.548 2.782 10
0.215 1.315 3.659 10
0.486 0.925 4.163 10
0.489 0.41 4.212 10
0.346 -0.095 3.714 10
-0.024 -0.474 2.618 10
-0.366 -0.754 1.512 11
-0.511 -0.773 0.567 9
-0.451 -0.765 -0.411 10
-0.354 -0.817 -1.025 10
-0.353 -0.813 -1.448 10
-0.37 -0.775 -1.587 10
-0.419 -0.628 -1.661 10
-0.351 -0.376 -1.297 10
-0.307 -0.2 -0.84 10
-0.233 -0.146 -0.402 10
-0.081 -0.192 -0.078 10
0.133 -0.319 -0.001 10
0.292 -0.554 -0.389 10
0.185 -0.507 -0.953 10
0.089 -0.146 -1.323 10
0.029 0.281 -1.492 10
0.233 0.494 -1.455 10
0.451 0.428 -1.335 10
0.578 0.324 -1.228 10
0.615 0.214 -1.182 10
0.639 -0.047 -1.064 10
0.481 -0.413 -0.958 10
0.476 -0.613 -0.543 10
0.592 -0.638 -0.101 10
0.602 -0.66 0.27 10
0.55 -0.594 0.614 10
0.478 -0.587 0.639 10
