# Accelerometer Data File
# Started @Wed Jul 20 19:57:46 CEST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: 3-axis Accelerometer sensor
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2266; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
0.994 2.237 -3.634 10
1.722 0.376 -5.029 10
2.455 -1.661 -4.664 10
2.968 -3.141 -3.93 10
3.309 -4.076 -1.21 9
3.03 -4.169 3.211 10
1.83 -2.097 6.674 10
0.13 0.594 7.291 10
-1.209 2.871 5.674 10
-1.011 2.825 7.735 10
-1.306 2.956 5.143 10
-1.572 2.902 0.035 10
-1.897 2.56 -3.864 10
-2.104 3.872 -5.158 10
-2.773 5.666 -4.47 10
-2.228 6.513 -2.265 10
-1.204 7.352 -0.599 11
0.088 8.669 -0.625 10
1.208 9.982 -1.907 10
1.716 11.371 -3.397 10
1.381 10.493 -2.583 10
0.708 7.608 -0.687 10
0.551 5.045 0.062 10
0.806 3.136 -0.547 10
1.105 2.021 -0.656 9
0.882 1.362 -0.211 11
0.243 0.915 -0.138 10
-0.315 1.048 0.254 10
-0.921 1.081 -0.564 10
-1.7 1.455 -1.309 10
-2.236 1.293 -1.204 10
-2.72 0.982 -1.687 10
-2.947 1.143 -2.931 10
-2.506 0.925 -3.371 10
-2.143 0.496 -3.611 10
-1.403 -0.07 -3.362 10
-0.685 -0.778 -3.56 10
-0.703 -1.131 -4.747 10
-0.572 -1.44 -5.936 10
-0.394 -2.313 -5.851 10
-0.32 -2.875 -4.688 10
0.038 -2.863 -3.021 10
-0.396 -2.335 -1.84 10
-0.02 -1.964 -2.242 10
-0.173 -1.466 -3.845 10
-0.25 -1.466 -4.727 10
-1.096 -1.069 -3.962 10
-2.055 -1.014 -2.445 10
-2.789 -1.912 0.634 10
-3.665 -3.962 1.976 10
-2.342 -5.789 -2.22 10
2.011 -6.469 -4.696 10
4.353 -2.96 2.608 10
2.944 2.282 8.32 10
0.658 5.26 9.22 10
0.661 5.096 5.669 10
