# Accelerometer Data File
# Started @Sun Jul 17 23:10:45 CEST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: 3-axis Accelerometer sensor
# sensor Resolution: 0.009576807m/sec^2; Max Range: 39.2266; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:UI
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
-0.651 6.138 10.486 20
-0.612 5.765 9.777 20
-0.248 5.238 9.605 20
0.143 4.462 9.241 20
0.134 4.156 8.494 20
-0.383 4.347 8.054 20
-0.861 4.453 8.322 20
-1.034 4.663 8.264 20
-0.785 4.587 7.91 20
-0.488 4.577 7.498 20
-0.287 4.711 7.22 21
-0.047 4.73 6.962 19
0.153 4.721 6.943 20
0.114 4.635 7.163 20
-0.067 4.462 7.45 20
-0.287 4.194 7.489 20
-0.507 4.079 7.058 20
-0.67 4.213 6.512 20
-0.641 4.376 6.387 20
-0.239 4.491 6.56 20
0.038 4.692 6.847 20
0.383 4.932 7.086 20
0.775 5.027 7.259 20
0.976 5.305 7.508 20
1.082 5.391 7.881 20
1.11 5.382 8.197 20
0.938 5.267 8.427 20
0.66 5.343 8.293 20
0.383 5.468 8.149 20
0.344 5.544 8.149 40
0.373 5.861 8.015 20
0.268 6.617 7.536 20
0.44 6.981 7.92 20
1.599 6.502 9.04 20
2.403 5.726 9.548 20
2.145 5.592 8.973 20
1.216 5.975 7.536 20
0.507 6.09 6.991 20
0.057 6.138 7.077 20
-0.181 5.975 7.019 20
-0.248 5.746 6.588 20
-0.325 5.707 6.215 20
-0.268 5.851 5.985 21
-0.287 6.033 5.65 19
-0.373 6.253 5.305 21
-0.306 6.464 5.497 19
-0.009 6.301 5.736 20
0.22 6.167 5.889 20
0.038 6.205 5.698 20
-0.584 6.301 5.449 20
-1.005 6.224 5.602 20
-0.881 6.004 6.33 20
-0.411 5.87 7.287 20
0.086 5.861 8.216 20
0.497 5.688 8.944 20
0.67 5.64 8.81 20
0.507 5.659 7.92 20
0.239 6.071 7.23 20
0.086 6.473 7.402 20
0.22 6.473 8.025 20
-0.124 6.742 8.887 20
-1.005 7.153 8.925 20
-1.177 7.24 8.418 20
